Round,Time,Accuracy,Loss
1,6.4458417892456055,0.3155048076923077,2.173008674230331
2,13.053730964660645,0.5213341346153846,1.9106589571023598
3,19.572172164916992,0.6727764423076923,1.5396437690808222
4,26.00586223602295,0.7581129807692307,1.143622529048186
5,32.445334911346436,0.8061899038461539,0.8737823221928034
6,38.87517690658569,0.8334334935897436,0.7151023871623553
7,45.37116193771362,0.848457532051282,0.615581652483879
8,51.69404077529907,0.8583733974358975,0.549245841610126
9,58.06286644935608,0.8652844551282052,0.5037848061093917
10,64.38194799423218,0.8751001602564102,0.4651413229413522
