Round,Time,Accuracy,Loss
1,6.7969818115234375,0.7972756410256411,0.688513515278315
2,13.427067279815674,0.8835136217948718,0.39447199639219505
3,20.01621103286743,0.9064503205128205,0.3184824006106609
4,26.49506711959839,0.9156650641025641,0.28763459130930596
5,33.262645959854126,0.9225761217948718,0.25926482849396193
6,39.893776416778564,0.9311899038461539,0.24244907875664723
7,46.53168797492981,0.93359375,0.22315320095572716
8,53.36590361595154,0.9373998397435898,0.21019405532532778
9,60.0048348903656,0.9377003205128205,0.20632828912960413
10,66.63706302642822,0.940604967948718,0.19699814633872265
