Round,Time,Accuracy,Loss
1,13.278764963150024,0.15544871794871795,2.2024383590771603
2,19.165865898132324,0.4439102564102564,2.0025188663066964
3,25.013062000274658,0.6193910256410257,1.7166759027884557
4,30.86815619468689,0.6969150641025641,1.4078566554265144
5,36.61599540710449,0.7368790064102564,1.1256508410741122
6,42.366453886032104,0.7721354166666666,0.910070042579602
7,48.06571125984192,0.7985777243589743,0.7650729261147671
8,53.881879568099976,0.8174078525641025,0.6702410907317431
9,59.55067491531372,0.8384415064102564,0.5967176917653817
10,65.28075695037842,0.8547676282051282,0.5469304667069361
