rounds,time_fedwan,accuracy_fedwan,loss_fedwan,time_fednag,accuracy_fednag,loss_fednag,time_mfl,accuracy_mfl,loss_mfl,time_mime,accuracy_mime,loss_mime,time_fedmom,accuracy_fedmom,loss_fedmom
30,208.8486505,0.952524038,0.15151161,90.94292927,0.951221955,0.160330983,221.0796597,0.915264423,0.278257609,613.192914,0.840444712,0.5396547,732.8434036,0.711438301,0.880748333
31,211.9417067,0.955528846,0.144694194,93.88111305,0.954126603,0.151430793,224.4419086,0.916165865,0.281536967,616.2719731,0.836838942,0.53428855,735.8477154,0.831029647,0.587054032
32,214.963985,0.953325321,0.149138976,96.71640015,0.954827724,0.153657826,227.805963,0.918970353,0.271601547,619.4111166,0.844350962,0.519327726,739.5978639,0.824719551,0.55563969
33,218.1731446,0.954927885,0.143643172,99.75876284,0.955629006,0.148239368,231.1592128,0.917067308,0.272514858,622.7097006,0.85166266,0.504296802,742.5993183,0.873898237,0.445151656
34,221.2730491,0.954326923,0.152221239,102.8191049,0.951121795,0.161646095,234.4732294,0.92197516,0.265650645,625.7226944,0.856870994,0.489715336,745.3791616,0.850861378,0.48035099
35,224.6056159,0.957532051,0.139260779,105.7657435,0.955428686,0.146985002,237.3959248,0.919971955,0.267059478,628.7860067,0.85947516,0.479493419,748.2218111,0.8828125,0.418512756
36,227.776639,0.957632212,0.138971894,108.6583667,0.952924679,0.151277323,240.4000747,0.922075321,0.254907379,631.8342481,0.861979167,0.469765101,751.2072816,0.860877404,0.442161097
37,230.7891338,0.958834135,0.136757479,111.4600005,0.955929487,0.145271781,243.3781729,0.923177083,0.254941686,634.8699212,0.862580128,0.461393494,754.0047536,0.880208333,0.404781176
38,233.9507327,0.955729167,0.14086607,114.5618908,0.955629006,0.146222416,246.4430811,0.921374199,0.256768336,637.8752878,0.865384615,0.453929047,756.8017924,0.878205128,0.398367748
39,237.0813582,0.959334936,0.130877627,117.483211,0.956330128,0.139639058,249.9686701,0.928084936,0.243670918,640.8280642,0.868389423,0.447193941,759.8608832,0.894931891,0.37520542
40,240.0579236,0.959034455,0.136206132,120.2965987,0.957632212,0.138201045,253.329711,0.924379006,0.246593389,643.8516529,0.870292468,0.437290399,762.8323963,0.882311699,0.384323447
