Round,Time,Accuracy,Loss
1,8.006229877471924,0.8604767628205128,0.4636323786316774
2,16.091513633728027,0.9094551282051282,0.3084599779297908
3,24.05005145072937,0.9201722756410257,0.27400903246150565
4,32.1196014881134,0.9277844551282052,0.2415509901415461
5,40.50519371032715,0.9342948717948718,0.21600398898888856
6,48.600404262542725,0.9402043269230769,0.19997907671122214
7,56.494890451431274,0.9433092948717948,0.1904180973696594
8,64.54184412956238,0.9475160256410257,0.1722768967350324
9,72.27990961074829,0.9502203525641025,0.16700063977772608
10,80.22284936904907,0.9537259615384616,0.16183291081912243
